Site,WT,Year,Day
Alder,22.18888426,2015,1
Alder,22.23216577,2015,2
Alder,22.13245157,2015,3
Alder,21.68112675,2015,4
Alder,21.25120216,2015,5
Alder,21.02306021,2015,6
Alder,21.09968306,2015,7
Alder,20.97206793,2015,8
Alder,20.75836809,2015,9
Alder,20.93232215,2015,10
Alder,20.73648865,2015,11
Alder,20.17422467,2015,12
Alder,20.10688313,2015,13
Alder,19.76700828,2015,14
Alder,19.61124346,2015,15
Alder,19.94350888,2015,16
Alder,20.48126795,2015,17
Alder,20.74831456,2015,18
Alder,20.94381261,2015,19
Alder,21.14234467,2015,20
Alder,20.9785971,2015,21
Alder,21.22681254,2015,22
Alder,20.60737285,2015,23
Alder,20.41961267,2015,24
Alder,20.22622331,2015,25
Alder,20.24100774,2015,26
Alder,20.25633447,2015,27
Alder,20.26744321,2015,28
Alder,19.21208763,2015,29
Alder,18.91739422,2015,30
Alder,18.99584986,2015,31
Alder,19.32243845,2015,32
Alder,18.90613879,2015,33
Alder,18.55940992,2015,34
Alder,18.00951598,2015,35
Alder,17.53146185,2015,36
Alder,17.48879548,2015,37
Alder,17.56232474,2015,38
Alder,17.98183471,2015,39
Alder,18.49286522,2015,40
Alder,18.53402513,2015,41
Alder,18.72344173,2015,42
Alder,18.92836576,2015,43
Alder,18.91774678,2015,44
Alder,18.30906092,2015,45
Alder,17.26571724,2015,46
Alder,16.09177854,2015,47
Alder,15.49436563,2015,48
Alder,15.56037224,2015,49
Alder,15.99961416,2015,50
Alder,16.32078285,2015,51
Alder,16.87590583,2015,52
Alder,16.88281077,2015,53
Alder,16.42376688,2015,54
Alder,16.6490551,2015,55
Alder,16.70248679,2015,56
Alder,16.73786053,2015,57
Alder,23.0700666,2016,1
Alder,22.8191018,2016,2
Alder,22.60122456,2016,3
Alder,22.93411167,2016,4
Alder,22.76351453,2016,5
Alder,22.5457562,2016,6
Alder,22.46832772,2016,7
Alder,22.03047906,2016,8
Alder,21.62250555,2016,9
Alder,21.62692576,2016,10
Alder,22.05256517,2016,11
Alder,22.3587436,2016,12
Alder,22.59687716,2016,13
Alder,22.53359194,2016,14
Alder,22.47181927,2016,15
Alder,22.49032287,2016,16
Alder,22.61111102,2016,17
Alder,22.81119016,2016,18
Alder,23.23081396,2016,19
Alder,23.39917599,2016,20
Alder,23.36424644,2016,21
Alder,23.36956747,2016,22
Alder,23.05104312,2016,23
Alder,22.88240588,2016,24
Alder,22.64278108,2016,25
Alder,22.59868651,2016,26
Alder,22.22032643,2016,27
Alder,21.52827782,2016,28
Alder,20.7320367,2016,29
Alder,20.5296871,2016,30
Alder,20.5327555,2016,31
Alder,20.48000989,2016,32
Alder,19.93177088,2016,33
Alder,19.45238314,2016,34
Alder,19.00049903,2016,35
Alder,18.72422108,2016,36
Alder,18.49132982,2016,37
Alder,18.46185652,2016,38
Alder,18.66934945,2016,39
Alder,18.90109491,2016,40
Alder,19.07988138,2016,41
Alder,19.36159245,2016,42
Alder,19.01113879,2016,43
Alder,18.574967,2016,44
Alder,18.37337601,2016,45
Alder,18.25535889,2016,46
Alder,18.09167669,2016,47
Alder,18.21825194,2016,48
Alder,18.39055278,2016,49
Alder,18.72354933,2016,50
Alder,18.71196858,2016,51
Alder,18.12397023,2016,52
Alder,16.89757081,2016,53
Alder,16.41675735,2016,54
Alder,16.42591739,2016,55
Alder,16.80065046,2016,56
Alder,17.13937578,2016,57
Alder,17.2208279,2016,58
Alder,17.5281394,2016,59
Alder,17.09468817,2016,60
Alder,16.22653047,2016,61
Alder,22.07670833,2019,1
Alder,21.99006945,2019,2
Alder,22.17050694,2019,3
Alder,22.33099306,2019,4
Alder,21.90419137,2019,5
Alder,21.51789583,2019,6
Alder,21.21400694,2019,7
Alder,20.87334722,2019,8
Alder,20.5113125,2019,9
Alder,19.79054167,2019,10
Alder,19.39534028,2019,11
Alder,19.68305556,2019,12
Alder,20.171625,2019,13
Alder,20.58989583,2019,14
Alder,20.91467361,2019,15
Alder,20.87236806,2019,16
Alder,21.13401389,2019,17
Alder,21.21104623,2019,18
Alder,20.40102985,2019,19
Alder,19.78038195,2019,20
Alder,19.73545833,2019,21
Alder,19.60804861,2019,22
Alder,20.21917361,2019,23
Alder,20.54029861,2019,24
Alder,20.55366667,2019,25
Alder,20.63536111,2019,26
Alder,21.27570833,2019,27
Alder,21.01331945,2019,28
Alder,20.64126389,2019,29
Alder,20.765375,2019,30
Alder,20.88172222,2019,31
Alder,20.65538194,2019,32
Alder,20.45544444,2019,33
Alder,20.29963194,2019,34
Alder,20.16461111,2019,35
Alder,19.9820524,2019,36
Alder,19.75513194,2019,37
Alder,19.12578472,2019,38
Alder,18.69254167,2019,39
Alder,18.58693056,2019,40
Alder,18.07789583,2019,41
Alder,17.74483333,2019,42
Alder,17.784,2019,43
Alder,18.39273611,2019,44
Alder,18.40059722,2019,45
Alder,18.02097917,2019,46
Alder,17.44923611,2019,47
Alder,16.61661806,2019,48
Alder,16.06448611,2019,49
Alder,15.48451389,2019,50
Alder,15.21708489,2019,51
Alder,15.38263889,2019,52
Alder,15.50499306,2019,53
Alder,15.15495833,2019,54
Alder,15.38620833,2019,55
Alder,15.72346528,2019,56
Alder,15.98611806,2019,57
Alder,16.05654167,2019,58
Alder,14.96118056,2019,59
Alder,13.79622222,2019,60
Alder,13.37254167,2019,61
Raft,21.50450002,2015,1
Raft,21.88943244,2015,2
Raft,21.78435495,2015,3
Raft,21.59041549,2015,4
Raft,21.30294198,2015,5
Raft,21.07786061,2015,6
Raft,21.09879378,2015,7
Raft,20.87466099,2015,8
Raft,20.65953036,2015,9
Raft,20.63296303,2015,10
Raft,20.57390624,2015,11
Raft,20.33362853,2015,12
Raft,20.08469495,2015,13
Raft,19.75882383,2015,14
Raft,19.73135623,2015,15
Raft,19.90012775,2015,16
Raft,20.16781874,2015,17
Raft,20.4263041,2015,18
Raft,20.64015482,2015,19
Raft,20.73731731,2015,20
Raft,20.76394116,2015,21
Raft,20.8152147,2015,22
Raft,20.56601568,2015,23
Raft,20.36966895,2015,24
Raft,20.26294474,2015,25
Raft,20.18668308,2015,26
Raft,20.11499839,2015,27
Raft,20.0988671,2015,28
Raft,19.39763831,2015,29
Raft,18.98742924,2015,30
Raft,18.93152895,2015,31
Raft,19.09761224,2015,32
Raft,18.96806172,2015,33
Raft,18.7072277,2015,34
Raft,18.40383101,2015,35
Raft,17.95591228,2015,36
Raft,17.74433751,2015,37
Raft,17.72290722,2015,38
Raft,17.8318822,2015,39
Raft,17.94891961,2015,40
Raft,18.09029035,2015,41
Raft,18.31693311,2015,42
Raft,18.53683792,2015,43
Raft,18.75111682,2015,44
Raft,18.45984911,2015,45
Raft,17.70809296,2015,46
Raft,16.74547742,2015,47
Raft,15.95539763,2015,48
Raft,15.78877627,2015,49
Raft,15.90372922,2015,50
Raft,16.07607236,2015,51
Raft,16.33521821,2015,52
Raft,16.54094362,2015,53
Raft,16.39113881,2015,54
Raft,16.30934068,2015,55
Raft,16.30564058,2015,56
Raft,16.35616454,2015,57
Raft,22.56615755,2016,1
Raft,22.43145961,2016,2
Raft,22.3642877,2016,3
Raft,22.43620672,2016,4
Raft,22.34402379,2016,5
Raft,22.12830802,2016,6
Raft,21.86835721,2016,7
Raft,21.6409797,2016,8
Raft,21.6107709,2016,9
Raft,21.47627015,2016,10
Raft,21.40983471,2016,11
Raft,21.54577965,2016,12
Raft,21.73144619,2016,13
Raft,21.85847653,2016,14
Raft,21.80899602,2016,15
Raft,21.94883779,2016,16
Raft,22.15459029,2016,17
Raft,22.43874026,2016,18
Raft,22.63655719,2016,19
Raft,22.85701714,2016,20
Raft,22.80296114,2016,21
Raft,22.88059836,2016,22
Raft,22.71344382,2016,23
Raft,22.54970176,2016,24
Raft,22.42222576,2016,25
Raft,22.30448036,2016,26
Raft,22.08995206,2016,27
Raft,21.54282204,2016,28
Raft,20.87007503,2016,29
Raft,20.3718769,2016,30
Raft,20.13833645,2016,31
Raft,20.08069574,2016,32
Raft,19.93647913,2016,33
Raft,19.61964944,2016,34
Raft,19.24623528,2016,35
Raft,18.88498,2016,36
Raft,18.67688451,2016,37
Raft,18.44980453,2016,38
Raft,18.49309617,2016,39
Raft,18.56171151,2016,40
Raft,18.68714957,2016,41
Raft,18.83949327,2016,42
Raft,18.84846256,2016,43
Raft,18.50301765,2016,44
Raft,18.28574496,2016,45
Raft,18.07661565,2016,46
Raft,18.04671549,2016,47
Raft,18.06602325,2016,48
Raft,18.13486898,2016,49
Raft,18.25027138,2016,50
Raft,18.30073745,2016,51
Raft,18.10126621,2016,52
Raft,17.45751099,2016,53
Raft,16.77884155,2016,54
Raft,16.60110943,2016,55
Raft,16.58163539,2016,56
Raft,16.6391629,2016,57
Raft,16.8156387,2016,58
Raft,17.0388708,2016,59
Raft,16.90526614,2016,60
Raft,16.4207094,2016,61
Raft,21.54436806,2019,1
Raft,21.35259028,2019,2
Raft,21.4601875,2019,3
Raft,21.68984028,2019,4
Raft,21.53341061,2019,5
Raft,21.18947917,2019,6
Raft,20.96902778,2019,7
Raft,20.73299306,2019,8
Raft,20.4418125,2019,9
Raft,19.88825694,2019,10
Raft,19.38946528,2019,11
Raft,19.48050695,2019,12
Raft,19.70231944,2019,13
Raft,19.98549306,2019,14
Raft,20.28054861,2019,15
Raft,20.56448611,2019,16
Raft,20.77061806,2019,17
Raft,20.81489583,2019,18
Raft,20.20200634,2019,19
Raft,19.70463194,2019,20
Raft,19.57119444,2019,21
Raft,19.62910417,2019,22
Raft,19.76181944,2019,23
Raft,20.0286875,2019,24
Raft,20.04131944,2019,25
Raft,20.1758125,2019,26
Raft,20.40504861,2019,27
Raft,20.6994375,2019,28
Raft,20.40691667,2019,29
Raft,20.41550694,2019,30
Raft,20.45154167,2019,31
Raft,20.37638194,2019,32
Raft,20.21070139,2019,33
Raft,20.09713195,2019,34
Raft,19.85320139,2019,35
Raft,19.88256039,2019,36
Raft,19.66013195,2019,37
Raft,19.24536806,2019,38
Raft,18.9088125,2019,39
Raft,18.57833333,2019,40
Raft,18.28290278,2019,41
Raft,17.87445139,2019,42
Raft,17.80645833,2019,43
Raft,17.922875,2019,44
Raft,18.07455556,2019,45
Raft,17.96888889,2019,46
Raft,17.59559722,2019,47
Raft,16.95974306,2019,48
Raft,16.361375,2019,49
Raft,15.91969444,2019,50
Raft,15.67723836,2019,51
Raft,15.55744444,2019,52
Raft,15.54831944,2019,53
Raft,15.35435417,2019,54
Raft,15.4834375,2019,55
Raft,15.757375,2019,56
Raft,15.94059722,2019,57
Raft,16.03047917,2019,58
Raft,15.45779861,2019,59
Raft,14.55906944,2019,60
Raft,13.87516667,2019,61
